City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3652764,Puerto Ayora,EC,-0.7393,-90.3518,71.55,93,62,4.0
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,75,4.61
2264557,Ponta do Sol,PT,32.6667,-17.1,66.69,76,8,6.46
2075265,Busselton,AU,-33.65,115.3333,61.05,68,91,13.04
3899695,Ancud,CL,-41.8697,-73.8203,46.22,89,93,7.54
2330100,Minna,NG,9.6139,6.5569,72.63,91,78,4.34
3466165,Cidreira,BR,-30.1811,-50.2056,59.31,82,24,5.08
1863978,Nishifukuma,JP,33.7667,130.4667,82.24,91,100,10.83
3430863,Mar del Plata,AR,-38.0023,-57.5575,51.73,64,90,3.0
1015776,Bredasdorp,ZA,-34.5322,20.0403,34.92,93,0,1.14
4726521,San Patricio,US,28.017,-97.5169,76.28,92,100,12.44
3418910,Upernavik,GL,72.7868,-56.1549,36.36,92,92,12.48
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,64.92,88,3,5.19
3099230,Gliwice,PL,50.2976,18.6766,64.13,86,62,4.0
2017155,Saskylakh,RU,71.9167,114.0833,63.09,33,90,12.68
2155415,New Norfolk,AU,-42.7826,147.0587,49.1,49,96,1.14
6089245,Norman Wells,CA,65.282,-126.8329,62.64,82,90,11.5
3372964,Lagoa,PT,39.05,-27.9833,68.79,81,5,5.68
3355672,Lüderitz,NA,-26.6481,15.1594,53.44,91,1,7.81
4845585,Westport,US,41.1415,-73.3579,74.55,89,1,1.99
3466704,Castro,BR,-24.7911,-50.0119,46.72,94,0,1.86
3833367,Ushuaia,AR,-54.8,-68.3,38.86,75,20,0.0
3393471,Oriximiná,BR,-1.7656,-55.8661,72.7,95,68,2.75
3034366,Beauchamps,FR,50.012,1.5176,55.31,90,7,6.55
6201424,Mataura,NZ,-46.1927,168.8643,40.48,95,89,6.82
1235846,Matara,LK,5.9485,80.5353,84.24,73,82,11.74
5282297,Bethel,US,41.3712,-73.414,71.89,84,75,1.99
2132606,Samarai,PG,-10.6167,150.6667,79.18,86,91,16.69
1529484,Kumul,CN,42.8,93.45,101.57,14,97,8.88
3470177,Bela Vista,BR,-22.1089,-56.5211,62.15,47,0,5.39
70979,Sayyan,YE,15.1718,44.3244,71.46,36,88,2.21
4032243,Vaini,TO,-21.2,-175.2,75.36,78,20,9.22
3868633,Vallenar,CL,-28.5708,-70.7581,59.18,31,0,1.52
2020838,Lensk,RU,60.7253,114.9278,82.67,47,56,7.81
3369157,Cape Town,ZA,-33.9258,18.4232,53.11,89,75,4.0
935215,Saint-Philippe,RE,-21.3585,55.7679,73.17,81,70,14.52
3386213,Touros,BR,-5.1989,-35.4608,74.3,87,6,12.88
2163355,Hobart,AU,-42.8794,147.3294,50.11,55,75,4.61
7601762,Bairiki Village,KI,1.3292,172.9752,84.2,79,75,9.22
1261227,Nokha,IN,27.6,73.4167,99.3,33,12,15.48
4020109,Atuona,PF,-9.8,-139.0333,78.76,78,23,23.62
2303611,Esim,GH,4.8699,-2.2405,75.34,89,67,6.87
5044290,Saint Anthony,US,45.0205,-93.218,58.87,76,90,5.75
3874787,Punta Arenas,CL,-53.15,-70.9167,35.71,87,20,16.11
5122534,Jamestown,US,42.097,-79.2353,65.95,97,90,1.01
2618795,Klaksvík,FO,62.2266,-6.589,52.72,93,100,4.61
