,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,1616150523,73.5069,80.5464,-34.72,93,0,3.92
1,Cockburn Town,TC,1616150524,21.4612,-71.1419,23.84,77,17,7.13
2,Olinda,BR,1616150524,-8.0089,-34.8553,27.0,69,40,3.6
3,Inírida,CO,1616150525,3.8653,-67.9239,22.86,92,93,0.81
4,Hong Kong,HK,1616150497,22.2855,114.1577,25.0,80,32,4.34
5,Bluff,NZ,1616150526,-46.6,168.3333,12.22,93,71,1.79
6,Klaksvík,FO,1616150527,62.2266,-6.589,8.0,93,73,4.12
7,Mataura,NZ,1616150528,-46.1927,168.8643,12.22,93,39,1.79
8,Vestmannaeyjar,IS,1616150528,63.4427,-20.2734,8.0,93,90,9.77
9,Hobart,AU,1616150443,-42.8794,147.3294,16.11,72,20,3.6
10,Nova Olímpia,BR,1616150529,-14.7972,-57.2881,21.61,98,100,1.7
11,Tasiilaq,GL,1616150530,65.6145,-37.6368,-2.0,74,76,1.54
12,Busselton,AU,1616150531,-33.65,115.3333,23.41,50,93,1.93
13,Pangkalanbuun,ID,1616150233,-2.6833,111.6167,25.89,89,73,2.24
14,Ilulissat,GL,1616150532,69.2167,-51.1,-8.0,53,99,9.77
15,Lompoc,US,1616150271,34.6391,-120.4579,11.0,93,75,1.85
16,Cabo San Lucas,MX,1616150401,22.8909,-109.9124,13.89,57,0,1.76
17,Nome,US,1616150535,64.5011,-165.4064,-27.78,76,1,2.11
18,Carnarvon,AU,1616150535,-24.8667,113.6333,30.0,54,0,5.14
19,Rikitea,PF,1616150536,-23.1203,-134.9692,26.89,77,100,7.09
20,Saint George,US,1616150388,37.1041,-113.5841,10.0,57,20,1.54
21,San Patricio,US,1616150537,28.017,-97.5169,12.0,54,1,4.63
22,Ushuaia,AR,1616150538,-54.8,-68.3,8.0,66,75,2.57
23,Atuona,PF,1616150539,-9.8,-139.0333,26.42,80,3,5.89
24,Airai,TL,1616150539,-8.9266,125.4092,16.32,93,100,0.37
25,Ribeira Grande,PT,1616150540,38.5167,-28.7,16.0,88,40,5.66
26,Norman Wells,CA,1616150541,65.282,-126.8329,-18.0,78,40,7.72
27,Hilo,US,1616150541,19.7297,-155.09,19.0,88,90,1.54
28,Laguna,US,1616150542,38.421,-121.4238,11.67,87,90,1.54
29,Eureka,US,1616150543,40.8021,-124.1637,5.56,95,22,4.19
30,Kapaa,US,1616150316,22.0752,-159.319,21.11,73,90,9.77
31,Qaanaaq,GL,1616150544,77.484,-69.3632,-23.29,77,100,2.27
32,Butaritari,KI,1616150545,3.0707,172.7902,27.42,78,25,3.57
33,Saldanha,ZA,1616150546,-33.0117,17.9442,18.71,68,28,8.64
34,Hithadhoo,MV,1616150546,-0.6,73.0833,28.1,74,97,6.47
35,Vaini,TO,1616150547,-21.2,-175.2,25.0,94,75,1.54
36,Half Moon Bay,US,1616150548,37.4636,-122.4286,12.0,93,90,2.06
37,Punta Arenas,CL,1616150549,-53.15,-70.9167,9.0,87,90,3.09
38,Albany,US,1616150550,42.6001,-73.9662,-4.44,32,82,1.34
39,Bambous Virieux,MU,1616150550,-20.3428,57.7575,30.0,62,40,5.66
40,Beringovskiy,RU,1616150551,63.05,179.3167,-22.04,99,100,4.66
